iter	Accuracy	MultiClass
0	0.3328424153	2.827521627
1	0.2282768778	2.756777609
2	0.235640648	2.712029362
3	0.2754050074	2.662169151
4	0.3129602356	2.607703397
5	0.352724595	2.558153224
6	0.3446244477	2.523658065
7	0.3681885125	2.483835557
8	0.3711340206	2.439806587
9	0.3667157585	2.421032827
10	0.3726067747	2.377678315
11	0.3873343152	2.348606923
12	0.4042709867	2.314743116
13	0.4212076583	2.286391821
14	0.4374079529	2.256579832
15	0.4550810015	2.222006717
16	0.4668630339	2.192357934
17	0.4690721649	2.174689266
18	0.4823269514	2.148618689
19	0.4911634757	2.123839976
20	0.499263623	2.105141168
21	0.5103092784	2.083690897
22	0.5213549337	2.060182447
23	0.5265095729	2.044982459
24	0.5316642121	2.022656489
25	0.5338733432	2.009933804
26	0.5375552283	1.993337611
27	0.5360824742	1.983022008
28	0.5353460972	1.972269293
29	0.5412371134	1.959084323
30	0.5493372607	1.936476424
31	0.559646539	1.910730369
32	0.5662739323	1.889950212
33	0.5721649485	1.876949691
34	0.5773195876	1.859671196
35	0.5854197349	1.839223865
36	0.586892489	1.825743629
37	0.5942562592	1.813460145
38	0.5942562592	1.808621501
39	0.6030927835	1.791346027
40	0.6023564065	1.788295452
41	0.6038291605	1.784845971
42	0.6097201767	1.769310301
43	0.6141384389	1.75349649
44	0.6207658321	1.733724924
45	0.6273932253	1.717761289
46	0.6354933726	1.700178546
47	0.6332842415	1.688567363
48	0.6377025037	1.679223271
49	0.6406480118	1.665181536
50	0.6443298969	1.657372446
51	0.6524300442	1.64190473
52	0.6531664212	1.630094591
53	0.6546391753	1.614517977
54	0.6583210604	1.607318277
55	0.6671575847	1.592081013
56	0.6723122239	1.57711646
57	0.676730486	1.564410628
58	0.6833578792	1.55053492
59	0.6958762887	1.532960843
60	0.7039764359	1.518060191
61	0.7120765832	1.503120958
62	0.7172312224	1.494547514
63	0.7238586156	1.478702709
64	0.7290132548	1.464288341
65	0.734904271	1.454509321
66	0.734167894	1.442862351
67	0.735640648	1.430679089
68	0.7400589102	1.416023722
69	0.7459499264	1.402397856
70	0.7496318115	1.392372666
71	0.7481590574	1.381748449
72	0.7562592047	1.365614409
73	0.7592047128	1.356966343
74	0.764359352	1.34407755
75	0.7687776141	1.328742782
76	0.7717231222	1.315175037
77	0.7731958763	1.303134718
78	0.7798232695	1.289388517
79	0.7886597938	1.274372826
80	0.7908689249	1.259908094
81	0.793814433	1.251616021
82	0.8063328424	1.238225933
83	0.8114874816	1.224984083
84	0.8144329897	1.210160536
85	0.8159057437	1.197673091
86	0.824742268	1.184775955
87	0.8313696613	1.172374059
88	0.8402061856	1.160528361
89	0.8424153166	1.148791594
90	0.8453608247	1.137907269
91	0.854197349	1.125230222
92	0.8571428571	1.11350156
93	0.8615611193	1.102049597
94	0.8652430044	1.090246114
95	0.8711340206	1.078183926
96	0.8740795287	1.066868274
97	0.8784977909	1.05638146
98	0.8799705449	1.047497421
99	0.882916053	1.034356356
100	0.8865979381	1.023634415
101	0.8902798233	1.01215431
102	0.8924889543	1.002778455
103	0.8976435935	0.9914953553
104	0.9042709867	0.9800959483
105	0.9064801178	0.9686619062
106	0.9086892489	0.9591531202
107	0.9101620029	0.9506119893
108	0.9138438881	0.9402763742
109	0.9145802651	0.9314812981
110	0.9182621502	0.9218964226
111	0.9219440353	0.9113768306
112	0.9256259205	0.9040833561
113	0.9278350515	0.8948266003
114	0.9307805596	0.8849140231
115	0.9329896907	0.8762711742
116	0.9337260677	0.8680117271
117	0.9366715758	0.8588808733
118	0.9381443299	0.8512112882
119	0.941089838	0.8435796985
120	0.941826215	0.8372015176
121	0.9440353461	0.8292432534
122	0.9440353461	0.8208417185
123	0.9447717231	0.814565185
124	0.9469808542	0.8062755827
125	0.9477172312	0.7987648496
126	0.9477172312	0.7916325045
127	0.9499263623	0.7840722742
128	0.9521354934	0.7769943387
129	0.9528718704	0.7685290437
130	0.9550810015	0.7615225051
131	0.9580265096	0.7543168928
