iter	Passed	Remaining
0	436	130585
1	461	68748
2	480	47594
3	1177	87138
4	1606	94783
5	2051	100541
6	2364	98989
7	2822	103034
8	3235	104624
9	3269	94812
10	3697	97134
11	4118	98851
12	4578	101088
13	5050	103184
14	5508	104658
15	6013	106732
16	6462	107583
17	6930	108574
18	7347	108665
19	7814	109408
20	8258	109724
21	8672	109593
22	9065	109177
23	9432	108476
24	9831	108145
25	10115	106602
26	10412	105285
27	10431	101337
28	10461	97765
29	10832	97490
30	11217	97342
31	11612	97252
32	12037	97391
33	12451	97418
34	12854	97329
35	13259	97233
36	13638	96945
37	14178	97759
38	14228	95221
39	14812	96280
40	14820	93623
41	14848	91213
42	15468	92453
43	15992	93050
44	16378	92814
45	16793	92728
46	17241	92811
47	17658	92707
48	18140	92922
49	18761	93807
50	19124	93373
51	19559	93283
52	19872	92612
53	20306	92508
54	20759	92475
55	21217	92445
56	21694	92487
57	22089	92165
58	22596	92302
59	23166	92667
60	23593	92440
61	24010	92168
62	24296	91400
63	24699	91080
64	25211	91148
65	25633	90880
66	26038	90553
67	26479	90340
68	26892	90029
69	27430	90130
70	28015	90359
71	28474	90167
72	28908	89892
73	29289	89451
74	29739	89218
75	30124	88789
76	30534	88429
77	30938	88055
78	31385	87800
79	31782	87401
80	32175	86993
81	32574	86601
82	32968	86195
83	33373	85816
84	33903	85754
85	34316	85393
86	34748	85074
87	35210	84824
88	35626	84463
89	36050	84116
90	36689	84265
91	37194	84093
92	37697	83907
93	38165	83639
94	38601	83298
95	38974	82820
96	39365	82382
97	39769	81972
98	40170	81559
99	40514	81028
100	40923	80632
101	41354	80276
102	41727	79808
103	42208	79546
104	42613	79138
105	43063	78814
106	43546	78547
107	43958	78149
108	44393	77790
109	44844	77458
110	45234	77021
111	45690	76694
112	46110	76306
113	46522	75905
114	46918	75477
115	47328	75072
116	47720	74639
117	48079	74156
118	48449	73691
119	48849	73274
120	49271	72889
121	49683	72489
122	50094	72086
123	50497	71674
124	50899	71258
125	51304	70848
126	51727	70463
127	52129	70049
128	52550	69659
129	53051	69375
130	53737	69325
131	54330	69148
132	54751	68748
133	55169	68343
134	55606	67963
135	56008	67539
136	56413	67120
137	56972	66881
138	57375	66456
139	57808	66066
140	58498	65966
141	58845	65476
142	59270	65072
143	59699	64673
144	60114	64260
145	60504	63820
146	60919	63406
147	61413	63072
148	61823	62652
149	62291	62291
150	62668	61838
151	63128	61466
152	63522	61031
153	63922	60601
154	64298	60149
155	64718	59740
156	65153	59343
157	65562	58923
158	65978	58509
159	66396	58097
160	66847	57712
161	67285	57317
162	67713	56912
163	68125	56494
164	68588	56117
165	69045	55735
166	69534	55378
167	70095	55075
168	70590	54718
169	71066	54345
170	71575	53995
171	72013	53591
172	72528	53243
173	72948	52824
174	73387	52419
175	73846	52028
176	74352	51668
177	74945	51367
178	75677	51156
179	76221	50814
180	76807	50497
181	77389	50175
182	77824	49756
183	78425	49442
184	78857	49019
185	79379	48651
186	79888	48274
187	80385	47889
188	80844	47480
189	81348	47096
190	81795	46679
191	82267	46275
192	82700	45849
193	83218	45470
194	83681	45059
195	84144	44648
196	84647	44257
197	85157	43869
198	85678	43484
199	86215	43107
200	86772	42738
201	87258	42333
202	87719	41915
203	88231	41520
204	88820	41160
205	89327	40761
206	89776	40334
207	90339	39957
208	90861	39561
209	91477	39204
210	92044	38824
211	92539	38412
212	92971	37974
213	93409	37538
214	93909	37127
215	94370	36699
216	94892	36295
217	95363	35870
218	95796	35431
219	96273	35008
220	96774	34593
221	97194	34149
222	97648	33717
223	98088	33279
224	98492	32830
225	98925	32391
226	99341	31946
227	99790	31512
228	100341	31110
229	100850	30693
230	101403	30289
231	101914	29871
232	102478	29468
233	102975	29044
234	103506	28629
235	104010	28206
236	104502	27779
237	104917	27331
238	105337	26885
239	105854	26463
240	106432	26055
241	106993	25642
242	107440	25202
243	107935	24772
244	108370	24328
245	108811	23885
246	109277	23448
247	109801	23022
248	110446	22621
249	111094	22218
250	111609	21788
251	112099	21352
252	112690	20934
253	113126	20487
254	113586	20044
255	114091	19609
256	114608	19175
257	115067	18731
258	115529	18288
259	116055	17854
260	116604	17423
261	117161	16992
262	117684	16556
263	118218	16120
264	118646	15670
265	119081	15220
266	119510	14771
267	119991	14327
268	120417	13877
269	120888	13432
270	121318	12982
271	121778	12536
272	122284	12094
273	122733	11646
274	123139	11194
275	123692	10755
276	124078	10302
277	124511	9853
278	124910	9401
279	125299	8949
280	125761	8503
281	126225	8056
282	126631	7606
283	127093	7160
